Date,Open,High,Low,Close,Volume
2024-01-01,1.1,1.10377,1.09759,1.1019,129540
2024-01-02,1.1019,1.09869,1.09205,1.09639,141147
2024-01-03,1.09639,1.10303,1.09867,1.10072,69470
2024-01-04,1.10072,1.10831,1.10258,1.10612,148611
2024-01-05,1.10612,1.09789,1.09199,1.09555,115256
2024-01-08,1.09555,1.09196,1.08641,1.08863,148413
2024-01-09,1.08863,1.09161,1.08805,1.08955,91935
2024-01-10,1.08955,1.09223,1.08682,1.08804,145769
2024-01-11,1.08804,1.09225,1.08454,1.08817,112974
2024-01-12,1.08817,1.08639,1.08107,1.08374,66463
2024-01-15,1.08374,1.09089,1.08442,1.08873,96911
2024-01-16,1.08873,1.09603,1.09056,1.09318,72401
2024-01-17,1.09318,1.09764,1.08946,1.09376,144715
2024-01-18,1.09376,1.1034,1.09768,1.10014,87401
2024-01-19,1.10014,1.1067,1.0992,1.10293,80012
2024-01-22,1.10293,1.10127,1.09704,1.09841,109760
2024-01-23,1.09841,1.10385,1.09772,1.10066,98264
2024-01-24,1.10066,1.09765,1.09187,1.0956,68728
2024-01-25,1.0956,1.10416,1.09648,1.10063,133484
2024-01-26,1.10063,1.10235,1.09676,1.10058,136121
2024-01-29,1.10058,1.10317,1.09856,1.09978,126866
2024-01-30,1.09978,1.10018,1.09394,1.09626,115508
2024-01-31,1.09626,1.10472,1.10191,1.10318,96230
2024-02-01,1.10318,1.10568,1.10108,1.10255,108812
2024-02-02,1.10255,1.10182,1.09708,1.10041,106889
2024-02-05,1.10041,1.10218,1.09524,1.09869,74878
2024-02-06,1.09869,1.10321,1.09817,1.10183,67363
2024-02-07,1.10183,1.10827,1.1001,1.10407,82792
2024-02-08,1.10407,1.10813,1.103,1.10657,100890
2024-02-09,1.10657,1.11347,1.1054,1.10917,74428
2024-02-12,1.10917,1.12508,1.11998,1.12127,69600
2024-02-13,1.12127,1.12233,1.11731,1.11922,136673
2024-02-14,1.11922,1.12031,1.11337,1.11657,93749
2024-02-15,1.11657,1.11602,1.10828,1.11225,112580
2024-02-16,1.11225,1.12018,1.11477,1.1159,107162
2024-02-19,1.1159,1.1244,1.11957,1.12242,126161
2024-02-20,1.12242,1.12512,1.11861,1.12201,126583
2024-02-21,1.12201,1.11896,1.1163,1.11752,86642
2024-02-22,1.11752,1.11631,1.11068,1.11314,136311
2024-02-23,1.11314,1.11867,1.11286,1.11698,93412
2024-02-26,1.11698,1.12438,1.11797,1.12135,135168
2024-02-27,1.12135,1.12768,1.1227,1.12462,96436
2024-02-28,1.12462,1.12379,1.11712,1.12111,69989
2024-02-29,1.12111,1.12551,1.12034,1.12263,128401
2024-03-01,1.12263,1.12721,1.11951,1.12351,62714
2024-03-04,1.12351,1.12879,1.12283,1.12496,129511
2024-03-05,1.12496,1.13289,1.12696,1.13009,63884
2024-03-06,1.13009,1.13475,1.1291,1.13158,78613
2024-03-07,1.13158,1.13996,1.13358,1.13565,114302
2024-03-08,1.13565,1.1378,1.1321,1.13626,144738
2024-03-11,1.13626,1.13967,1.13635,1.13813,96762
2024-03-12,1.13813,1.14339,1.14052,1.14195,70858
2024-03-13,1.14195,1.13723,1.13156,1.13386,80961
2024-03-14,1.13386,1.13483,1.1287,1.13227,140650
2024-03-15,1.13227,1.13359,1.12597,1.12983,125406
2024-03-18,1.12983,1.12985,1.12195,1.12645,69035
2024-03-19,1.12645,1.12738,1.123,1.12513,94640
2024-03-20,1.12513,1.13795,1.13124,1.13376,83808
2024-03-21,1.13376,1.13279,1.12749,1.12908,76004
2024-03-22,1.12908,1.13683,1.13168,1.13477,136183
2024-03-25,1.13477,1.12781,1.12096,1.12545,115594
2024-03-26,1.12545,1.12598,1.12031,1.12379,76154
2024-03-27,1.12379,1.12659,1.1218,1.12493,118562
2024-03-28,1.12493,1.13008,1.126,1.12845,97221
2024-03-29,1.12845,1.13701,1.12845,1.13269,65532
2024-04-01,1.13269,1.14004,1.13458,1.13741,100487
2024-04-02,1.13741,1.1381,1.13406,1.13566,76670
2024-04-03,1.13566,1.13687,1.13088,1.13326,82073
2024-04-04,1.13326,1.14137,1.13698,1.13835,139109
2024-04-05,1.13835,1.14182,1.13566,1.13749,123922
2024-04-08,1.13749,1.13423,1.12927,1.13046,72068
2024-04-09,1.13046,1.12702,1.12162,1.12428,136620
2024-04-10,1.12428,1.12172,1.11608,1.11933,111687
2024-04-11,1.11933,1.12678,1.12006,1.12234,138711
2024-04-12,1.12234,1.12691,1.12082,1.12336,127236
2024-04-15,1.12336,1.13181,1.1231,1.12747,90538
2024-04-16,1.12747,1.12681,1.12162,1.12528,108138
2024-04-17,1.12528,1.1304,1.12345,1.1264,107776
2024-04-18,1.1264,1.13344,1.12805,1.13015,124794
2024-04-19,1.13015,1.13017,1.12446,1.12863,82356
2024-04-22,1.12863,1.13456,1.1295,1.13143,89977
2024-04-23,1.13143,1.13136,1.12568,1.12791,82031
2024-04-24,1.12791,1.12726,1.12189,1.12609,86652
2024-04-25,1.12609,1.12682,1.12126,1.12417,74512
2024-04-26,1.12417,1.12155,1.11406,1.11767,63289
2024-04-29,1.11767,1.12273,1.11751,1.12061,144601
2024-04-30,1.12061,1.12087,1.1149,1.11821,66688
2024-05-01,1.11821,1.1211,1.11638,1.1185,139918
2024-05-02,1.1185,1.12355,1.11948,1.12141,60277
2024-05-03,1.12141,1.12836,1.12193,1.12414,129962
2024-05-06,1.12414,1.13188,1.12645,1.12811,89556
2024-05-07,1.12811,1.12928,1.12369,1.12778,106589
2024-05-08,1.12778,1.13011,1.12353,1.12562,85399
2024-05-09,1.12562,1.12949,1.12237,1.12539,104154
2024-05-10,1.12539,1.11819,1.11236,1.11612,100640
2024-05-13,1.11612,1.11216,1.10456,1.10827,107677
2024-05-14,1.10827,1.10262,1.09861,1.10116,95395
2024-05-15,1.10116,1.10027,1.09323,1.09589,108291
2024-05-16,1.09589,1.10159,1.09393,1.0983,134291
2024-05-17,1.0983,1.09678,1.09024,1.09355,99110
2024-05-20,1.09355,1.09309,1.08794,1.0917,92523
2024-05-21,1.0917,1.10307,1.09494,1.09901,71857
2024-05-22,1.09901,1.09847,1.09358,1.09727,92374
2024-05-23,1.09727,1.10344,1.09982,1.10154,71309
2024-05-24,1.10154,1.09818,1.09367,1.09662,76425
